iter	Passed	Remaining
440	1256	1592
441	1258	1589
442	1261	1585
443	1263	1582
444	1266	1579
445	1268	1576
446	1271	1572
447	1273	1569
448	1276	1566
449	1278	1562
450	1280	1559
451	1283	1555
452	1285	1552
453	1288	1549
454	1290	1545
455	1292	1542
456	1295	1539
457	1297	1535
458	1300	1532
459	1302	1529
460	1305	1525
461	1307	1522
462	1309	1519
463	1312	1515
464	1314	1512
465	1317	1509
466	1319	1506
467	1322	1502
468	1324	1499
469	1326	1496
470	1329	1493
471	1331	1489
472	1334	1486
473	1336	1483
474	1338	1479
475	1341	1476
476	1343	1473
477	1346	1470
478	1348	1466
479	1350	1463
480	1353	1460
481	1355	1457
482	1358	1453
483	1360	1450
484	1363	1447
485	1365	1444
486	1368	1441
487	1370	1438
488	1373	1434
489	1375	1431
490	1378	1428
491	1380	1425
492	1383	1422
493	1385	1419
494	1388	1416
495	1390	1413
496	1393	1410
497	1395	1407
498	1398	1403
499	1400	1400
500	1402	1397
501	1405	1394
502	1407	1391
503	1410	1387
504	1412	1384
505	1415	1381
506	1417	1378
507	1419	1375
508	1422	1371
509	1424	1368
510	1427	1365
511	1429	1362
512	1431	1359
513	1434	1356
514	1436	1353
515	1439	1349
516	1441	1346
517	1444	1343
518	1446	1340
519	1448	1337
520	1451	1334
521	1453	1331
522	1456	1328
523	1458	1324
524	1461	1321
525	1463	1318
526	1465	1315
527	1468	1312
528	1470	1309
529	1472	1306
530	1475	1303
531	1477	1299
532	1480	1296
533	1482	1293
534	1485	1290
535	1487	1287
536	1490	1284
537	1493	1282
538	1495	1279
539	1498	1276
540	1500	1273
541	1503	1270
542	1505	1267
543	1507	1263
544	1510	1260
545	1512	1257
546	1515	1254
547	1517	1251
548	1519	1248
549	1522	1245
550	1524	1242
551	1527	1239
552	1529	1236
553	1531	1233
554	1534	1230
555	1536	1227
556	1539	1224
557	1541	1221
558	1544	1218
559	1546	1215
560	1549	1212
561	1551	1209
562	1554	1206
563	1556	1203
564	1559	1200
565	1561	1197
566	1564	1194
567	1566	1191
568	1568	1188
569	1571	1185
570	1573	1182
571	1576	1179
572	1578	1176
573	1580	1173
574	1583	1170
575	1585	1167
576	1588	1164
577	1590	1161
578	1593	1158
579	1595	1155
580	1597	1152
581	1600	1149
582	1602	1146
583	1605	1143
584	1607	1140
585	1609	1137
586	1612	1134
587	1614	1131
588	1617	1128
589	1619	1125
590	1622	1122
591	1624	1119
592	1626	1116
593	1629	1113
594	1631	1110
595	1633	1107
596	1636	1104
597	1638	1101
598	1641	1098
599	1643	1095
600	1646	1092
601	1648	1089
602	1650	1086
603	1653	1083
604	1655	1080
605	1657	1077
606	1660	1074
607	1662	1072
608	1665	1069
609	1667	1066
610	1669	1063
611	1672	1060
612	1674	1057
613	1677	1054
614	1679	1051
615	1682	1048
616	1684	1045
617	1687	1042
618	1689	1039
619	1691	1036
620	1694	1034
621	1696	1031
622	1699	1028
623	1701	1025
624	1704	1022
625	1706	1019
626	1709	1016
627	1711	1013
628	1714	1011
629	1716	1008
630	1719	1005
631	1721	1002
632	1724	999
633	1726	996
634	1729	993
635	1731	991
636	1734	988
637	1736	985
638	1738	982
639	1741	979
640	1743	976
641	1746	973
642	1749	971
643	1752	968
644	1754	965
645	1757	962
646	1759	960
647	1762	957
648	1765	954
649	1768	952
650	1770	949
651	1773	946
652	1775	943
653	1777	940
654	1780	937
655	1782	934
656	1785	931
657	1787	929
658	1790	926
659	1792	923
660	1795	920
661	1797	917
662	1800	915
663	1802	912
664	1805	909
665	1807	906
666	1810	903
667	1812	900
668	1814	897
669	1817	895
670	1820	892
671	1822	889
672	1825	886
673	1827	883
674	1829	880
675	1832	878
676	1834	875
677	1837	872
678	1840	869
679	1842	867
680	1844	864
681	1847	861
682	1850	858
683	1852	855
684	1855	853
685	1857	850
686	1860	847
687	1862	844
688	1865	841
689	1867	839
690	1870	836
691	1872	833
692	1874	830
693	1877	827
694	1879	825
695	1882	822
696	1884	819
697	1887	816
698	1889	813
699	1892	810
700	1894	808
701	1897	805
702	1899	802
703	1902	799
704	1904	796
705	1906	794
706	1909	791
707	1911	788
708	1914	785
709	1916	782
710	1918	779
711	1921	777
712	1923	774
713	1926	771
714	1928	768
715	1931	765
716	1933	763
717	1935	760
718	1938	757
719	1940	754
720	1943	751
721	1945	749
722	1947	746
723	1950	743
724	1953	740
725	1955	738
726	1958	735
727	1960	732
728	1962	729
729	1965	726
730	1967	724
731	1970	721
732	1972	718
733	1974	715
734	1977	712
735	1979	710
736	1982	707
737	1984	704
738	1987	701
739	1989	699
740	1991	696
741	1994	693
742	1997	690
743	1999	688
744	2002	685
745	2004	682
746	2007	679
747	2009	676
748	2011	674
749	2014	671
750	2016	668
751	2019	665
752	2021	663
753	2024	660
754	2026	657
755	2029	654
756	2031	652
757	2034	649
758	2036	646
759	2038	643
760	2042	641
761	2045	638
762	2048	636
763	2050	633
764	2053	630
765	2055	627
766	2057	625
767	2060	622
768	2062	619
769	2065	616
770	2068	614
771	2070	611
772	2072	608
773	2075	605
774	2077	603
775	2080	600
776	2082	597
777	2084	594
778	2087	592
779	2090	589
780	2092	586
781	2095	584
782	2097	581
783	2099	578
784	2102	575
785	2104	573
786	2107	570
787	2109	567
788	2111	564
789	2114	562
790	2116	559
791	2119	556
792	2121	553
793	2124	551
794	2126	548
795	2129	545
796	2131	542
797	2134	540
798	2136	537
799	2155	538
800	2158	536
801	2160	533
802	2163	530
803	2165	527
804	2168	525
805	2170	522
806	2173	519
807	2175	516
808	2178	514
809	2180	511
810	2183	508
811	2185	506
812	2188	503
813	2190	500
814	2192	497
815	2195	495
816	2198	492
817	2200	489
818	2203	486
819	2205	484
820	2207	481
821	2210	478
822	2213	475
823	2215	473
824	2218	470
825	2220	467
826	2222	464
827	2225	462
828	2227	459
829	2230	456
830	2232	454
831	2235	451
832	2237	448
833	2240	445
834	2242	443
835	2245	440
836	2247	437
837	2250	434
838	2252	432
839	2255	429
840	2257	426
841	2260	424
842	2262	421
843	2264	418
844	2267	415
845	2269	413
846	2272	410
847	2274	407
848	2277	405
849	2279	402
850	2282	399
851	2284	396
852	2287	394
853	2289	391
854	2292	388
855	2294	386
856	2297	383
857	2299	380
858	2302	377
859	2304	375
860	2307	372
861	2309	369
862	2311	367
863	2314	364
864	2316	361
865	2319	358
866	2322	356
867	2324	353
868	2326	350
869	2329	348
870	2331	345
871	2334	342
872	2337	339
873	2339	337
874	2341	334
875	2344	331
876	2346	329
877	2349	326
878	2351	323
879	2353	320
880	2356	318
881	2358	315
882	2361	312
883	2363	310
884	2366	307
885	2368	304
886	2370	302
887	2373	299
888	2375	296
889	2378	293
890	2380	291
891	2383	288
892	2385	285
893	2388	283
894	2390	280
895	2393	277
896	2395	275
897	2398	272
898	2400	269
899	2403	267
900	2405	264
901	2408	261
902	2411	259
903	2413	256
904	2416	253
905	2418	250
906	2420	248
907	2423	245
908	2426	242
909	2428	240
910	2431	237
911	2433	234
912	2435	232
913	2438	229
914	2441	226
915	2443	224
916	2445	221
917	2448	218
918	2450	216
919	2453	213
920	2455	210
921	2458	207
922	2460	205
923	2462	202
924	2465	199
925	2467	197
926	2470	194
927	2472	191
928	2475	189
929	2477	186
930	2479	183
931	2482	181
932	2484	178
933	2487	175
934	2489	173
935	2492	170
936	2494	167
937	2496	165
938	2499	162
939	2502	159
940	2504	157
941	2506	154
942	2509	151
943	2511	148
944	2514	146
945	2516	143
946	2518	140
947	2521	138
948	2523	135
949	2526	132
950	2528	130
951	2530	127
952	2533	124
953	2535	122
954	2538	119
955	2540	116
956	2543	114
957	2545	111
958	2548	108
959	2550	106
960	2553	103
961	2555	100
962	2558	98
963	2560	95
964	2563	92
965	2565	90
966	2567	87
967	2570	84
968	2572	82
969	2575	79
970	2577	76
971	2580	74
972	2582	71
973	2585	69
974	2587	66
975	2590	63
976	2592	61
977	2594	58
978	2597	55
979	2599	53
980	2602	50
981	2604	47
982	2606	45
983	2609	42
984	2611	39
985	2614	37
986	2616	34
987	2618	31
988	2621	29
989	2623	26
990	2626	23
991	2628	21
992	2631	18
993	2633	15
994	2635	13
995	2638	10
996	2640	7
997	2643	5
998	2645	2
999	2648	0
