iter	MultiClass
0	0.9986712592
1	0.9180897589
2	0.8520514622
3	0.788369041
4	0.7394795028
5	0.6937116478
6	0.6506247625
7	0.6176670009
8	0.5853896839
9	0.5562637003
10	0.5327109935
11	0.5111065823
12	0.4880414311
13	0.469567675
14	0.4526325504
15	0.4378197519
16	0.4204315945
17	0.4065707231
18	0.3922356702
19	0.3794074641
20	0.3694600087
21	0.3599419578
22	0.3495912496
23	0.3404503852
24	0.3321696346
25	0.325204918
26	0.3178373566
27	0.3111654697
28	0.305285761
29	0.2998524073
30	0.2930278897
31	0.2865473194
32	0.2824651272
33	0.2787369313
34	0.2742566443
35	0.2688588825
36	0.2648633324
37	0.261491534
38	0.258131364
39	0.2546142375
40	0.2522010073
41	0.2487992968
42	0.245358889
43	0.2427575811
44	0.2398795611
45	0.2359086061
46	0.2335687839
47	0.2308595742
48	0.2284492917
49	0.2257419438
50	0.222908374
51	0.2206720884
52	0.218841857
53	0.2155975956
54	0.212188574
55	0.2099988998
56	0.2085511672
57	0.2069528998
58	0.2038831382
59	0.2016026913
60	0.2003465449
61	0.1988483494
62	0.1968935192
63	0.195086697
64	0.1929697209
65	0.1920385088
66	0.1910297153
67	0.1899479986
68	0.1877190868
69	0.1855760419
70	0.1837481872
71	0.1821624624
72	0.180438376
73	0.1792786368
74	0.1773506994
75	0.1755620552
76	0.1736040883
77	0.1718255286
78	0.1708560241
79	0.1694846167
80	0.1683258749
81	0.1660661821
82	0.1646615818
83	0.1632575184
84	0.1624028151
85	0.1609722436
86	0.1598112947
87	0.1585372542
88	0.1574531379
89	0.1559478776
90	0.1547014617
91	0.1531295346
92	0.1513227558
93	0.1506702858
94	0.149820469
95	0.1490995974
96	0.1481196846
97	0.1470019062
98	0.1456298082
99	0.1447904341
100	0.1434866922
101	0.1425541929
102	0.1408869264
103	0.1405164205
104	0.1399022961
105	0.1390502286
106	0.1380974593
107	0.1371495183
108	0.1363913005
109	0.1355679573
110	0.1351042305
111	0.1338675707
112	0.1331874868
113	0.1324273413
114	0.1318049462
115	0.1311595502
116	0.1304273359
117	0.1295557413
118	0.1282728187
119	0.1276778775
120	0.1268512418
121	0.1260884489
122	0.1253434549
123	0.1242254542
124	0.123317926
125	0.1230914378
126	0.1218548484
127	0.1211575182
128	0.1208053381
129	0.1202945085
130	0.1193073599
131	0.1189722395
132	0.1180469707
133	0.1170330616
134	0.1161956007
135	0.1157853342
136	0.1145555044
137	0.1140037478
138	0.1133931015
139	0.1128860413
140	0.1121632554
141	0.1117971706
142	0.1113247343
143	0.1109845242
144	0.1103050009
145	0.1094652549
146	0.1089493561
147	0.1083740485
148	0.107657932
149	0.1071566338
150	0.1067483811
151	0.1063710965
152	0.1061053979
153	0.1058513834
154	0.1055799508
155	0.1050374515
156	0.104742389
157	0.1039376936
158	0.1036881186
159	0.1030013747
160	0.1024517622
161	0.1020534847
162	0.1014839862
163	0.1007964397
164	0.1002499065
165	0.09969682942
166	0.09942713136
167	0.09872646309
168	0.09826064621
169	0.09787748738
170	0.09762326534
171	0.09698309214
172	0.09644527506
173	0.09613703585
174	0.09544195939
175	0.09484418305
176	0.09418910581
177	0.09353738424
178	0.0933100622
179	0.09286638251
180	0.09236073261
181	0.09192004932
182	0.0918403013
183	0.09147943023
184	0.09080171573
185	0.09020149959
186	0.08957831475
187	0.08926642973
188	0.08870577668
189	0.08815358828
190	0.08789310001
191	0.08761824596
192	0.08715001645
193	0.08693106529
194	0.08681285489
195	0.08629818615
196	0.08607482871
197	0.08562599704
198	0.08543559413
199	0.08510343301
200	0.08468662897
201	0.08432693012
202	0.08367037291
203	0.083470516
204	0.08307194557
205	0.08295218644
206	0.08275241266
207	0.08233069488
208	0.08215216987
209	0.08192334641
210	0.08164816141
211	0.08115369569
212	0.08065571423
213	0.08034592819
214	0.08006550033
215	0.07969059989
216	0.07905112083
217	0.07879496133
218	0.07823699674
219	0.0778778294
220	0.07748185747
221	0.07706133948
222	0.07674547219
223	0.0765820158
224	0.07617472005
225	0.07592018608
226	0.07563266664
227	0.07553565596
228	0.07536476536
229	0.0752755684
230	0.07490808417
231	0.07467042168
232	0.07454823693
233	0.07445530069
234	0.07417914296
235	0.07401886676
236	0.07342965328
237	0.07311261904
238	0.07288114299
239	0.07234701605
240	0.07187730678
241	0.07167379484
242	0.07127299932
243	0.07111227832
244	0.07103119578
245	0.07085793604
246	0.07063386576
247	0.07038105823
248	0.07013677611
249	0.06983976074
250	0.06948108589
251	0.06938557158
252	0.06915708341
253	0.06904646277
254	0.06894532488
255	0.06868521605
256	0.06843991807
257	0.06809856879
258	0.06787341974
259	0.06753974009
260	0.06725558603
261	0.06708174742
262	0.06683086061
263	0.06669870323
264	0.06651095222
265	0.06637017816
266	0.06614594589
267	0.06590575715
268	0.06563111193
269	0.06545031592
270	0.06519812631
271	0.06491710736
272	0.06478720387
273	0.06448788775
274	0.0642891536
275	0.06405413469
276	0.06386375609
277	0.0636861885
278	0.06352306953
279	0.06330436404
280	0.06317030183
281	0.0629621123
282	0.06269386323
283	0.06245274951
284	0.06227561695
285	0.06216198464
286	0.0619858145
287	0.06187088043
288	0.06158444256
289	0.06137824391
290	0.06117708278
291	0.06087981127
292	0.06071136686
293	0.06057614347
294	0.06037513305
295	0.05992615993
296	0.0597305446
297	0.05946013959
298	0.05920329433
299	0.05907058397
300	0.05900887503
301	0.05878710252
302	0.05859501936
303	0.0584501677
304	0.05836551101
305	0.05817285947
306	0.05810890883
307	0.05802208679
308	0.0578026973
309	0.05751463464
310	0.05739177315
311	0.05727411658
312	0.05702826826
313	0.05690905645
314	0.05668284849
315	0.0564171722
316	0.05632061283
317	0.05611934436
318	0.05600084496
319	0.05573933678
320	0.05563424993
321	0.05549107915
322	0.05527334432
323	0.05511305227
324	0.05500453751
325	0.05487736124
326	0.05464807339
327	0.05455620464
328	0.0544518893
329	0.05428294725
330	0.05403129902
331	0.05384888673
332	0.05372192726
333	0.05348957574
334	0.05333202366
335	0.05317627992
336	0.05298424776
337	0.05278619434
338	0.05256743313
339	0.05241400954
340	0.05225054405
341	0.05209924079
342	0.05201390541
343	0.05180000383
344	0.05168242216
345	0.05136432704
346	0.05122169963
347	0.05110940553
348	0.05105502855
349	0.05091019884
350	0.05086717165
351	0.05071702218
352	0.05050973349
353	0.05033594657
354	0.05027988691
355	0.05010535929
356	0.05001468941
357	0.04994547052
358	0.0498677656
359	0.04969992566
360	0.04956718328
361	0.04935738703
362	0.04914255914
363	0.04893690844
364	0.04883865028
365	0.04872907753
366	0.04861024029
367	0.04849871663
368	0.04836617599
369	0.04819822993
370	0.04790615227
371	0.04770104259
372	0.04748229331
373	0.04741267899
374	0.04737860671
375	0.04727583056
376	0.04716938339
377	0.04704452063
378	0.04688728757
379	0.04676730844
380	0.04663030025
381	0.04643714659
382	0.0463321384
383	0.04624018535
384	0.04620284663
385	0.04609883639
386	0.04605838925
387	0.04585461602
